station_id,station_name,latitude,longitude,elevation_m
1974,                                        ,-999,-999,-999
1984,                                        ,-999,-999,-999
1993,                                        ,-999,-999,-999
2007,                                        ,-999,-999,-999
2011,                                        ,-999,-999,-999
2012,                                        ,-999,-999,-999
2015,                                        ,-999,-999,-999
2023,                                        ,-999,-999,-999
2029,                                        ,-999,-999,-999
2033,                                        ,-999,-999,-999
2035,                                        ,-999,-999,-999
2036,"SAN FRANC. DE LAISHI,ARGEN.             ",-999,-999,-999
2037,                                        ,-999,-999,-999
2048,                                        ,-999,-999,-999
2049,                                        ,-999,-999,-999
2051,                                        ,-999,-999,-999
2055,                                        ,-999,-999,-999
2057,                                        ,-999,-999,-999
2058,                                        ,-999,-999,-999
2062,                                        ,-999,-999,-999
2071,                                        ,-999,-999,-999
2072,                                        ,-999,-999,-999
2082,                                        ,-999,-999,-999
2093,                                        ,-999,-999,-999
2097,                                        ,-999,-999,-999
2100,                                        ,-999,-999,-999
2106,                                        ,-999,-999,-999
2113,                                        ,-999,-999,-999
2114,                                        ,-999,-999,-999
2123,                                        ,-999,-999,-999
2133,                                        ,-999,-999,-999
2134,                                        ,-999,-999,-999
2144,                                        ,-999,-999,-999
2148,                                        ,-999,-999,-999
2152,                                        ,-999,-999,-999
2153,                                        ,-999,-999,-999
2166,                                        ,-999,-999,-999
2169,                                        ,-999,-999,-999
2170,                                        ,-999,-999,-999
2173,                                        ,-999,-999,-999
2180,                                        ,-999,-999,-999
2186,                                        ,-999,-999,-999
2187,                                        ,-999,-999,-999
2188,                                        ,-999,-999,-999
2192,                                        ,-999,-999,-999
2200,                                        ,-999,-999,-999
2202,                                        ,-999,-999,-999
2213,                                        ,-999,-999,-999
2218,                                        ,-999,-999,-999
2225,                                        ,-999,-999,-999
2228,                                        ,-999,-999,-999
2233,                                        ,-999,-999,-999
2241,                                        ,-999,-999,-999
2245,                                        ,-999,-999,-999
2255,                                        ,-999,-999,-999
2264,                                        ,-999,-999,-999
2274,                                        ,-999,-999,-999
2283,                                        ,-999,-999,-999
2288,                                        ,-999,-999,-999
2289,                                        ,-999,-999,-999
2297,                                        ,-999,-999,-999
2301,                                        ,-999,-999,-999
2309,                                        ,-999,-999,-999
2317,                                        ,-999,-999,-999
2325,                                        ,-999,-999,-999
2330,                                        ,-999,-999,-999
2337,                                        ,-999,-999,-999
2338,                                        ,-999,-999,-999
2343,                                        ,-999,-999,-999
2346,                                        ,-999,-999,-999
2350,                                        ,-999,-999,-999
2357,                                        ,-999,-999,-999
2359,                                        ,-999,-999,-999
2360,                                        ,-999,-999,-999
2368,                                        ,-999,-999,-999
2381,                                        ,-999,-999,-999
2386,                                        ,-999,-999,-999
2392,                                        ,-999,-999,-999
2395,                                        ,-999,-999,-999
2396,                                        ,-999,-999,-999
2410,                                        ,-999,-999,-999
2411,                                        ,-999,-999,-999
2412,                                        ,-999,-999,-999
2415,                                        ,-999,-999,-999
2420,                                        ,-999,-999,-999
2421,                                        ,-999,-999,-999
2425,                                        ,-999,-999,-999
2427,                                        ,-999,-999,-999
2435,                                        ,-999,-999,-999
2436,                                        ,-999,-999,-999
2437,                                        ,-999,-999,-999
2438,                                        ,-999,-999,-999
2448,                                        ,-999,-999,-999
2450,                                        ,-999,-999,-999
2453,                                        ,-999,-999,-999
2454,                                        ,-999,-999,-999
2461,                                        ,-999,-999,-999
2463,"CORONEL J.J. GOMEZ,ARGENTINA            ",-999,-999,-999
2467,                                        ,-999,-999,-999
2474,"V.M. DEL RIO SECO,ARGENTINA             ",-999,-999,-999
2478,                                        ,-999,-999,-999
2484,                                        ,-999,-999,-999
2503,                                        ,-999,-999,-999
2504,                                        ,-999,-999,-999
2509,                                        ,-999,-999,-999
2512,                                        ,-999,-999,-999
2516,                                        ,-999,-999,-999
2517,                                        ,-999,-999,-999
2620,HASSIR MEL                              ,32.9,3.3,764
2631,BOUCHEGOUF                              ,36.5,7.7,111
2647,LA CUMBRE                               ,-31,-64.6,1138
2711,"MAGHNIA,                                ",34.8,1.8,426
2715,"TLEMCEN(ZENATA),                        ",35,1.5,247
2724,"BENI-SAF,                               ",35.3,1.4,68
3308,"FORMOSA,                                ",-999,-999,-999
3309,"PERGAMINO,                              ",-999,-999,-999
3311,"VILLA NEUGUES,                          ",-999,-999,-999
3313,"PRES.R.S. PEFIA,                        ",-999,-999,-999
3316,"ANGEL GALLARDO,                         ",-999,-999,-999
3317,"GEN. GODOY,                             ",-999,-999,-999
3318,"LAS DELICIAS,                           ",-999,-999,-999
3319,"TRENQUE LAUQUEN,                        ",-999,-999,-999
3320,"LAS LAJAS,                              ",-999,-999,-999
3321,"LA COCHA,                               ",-999,-999,-999
3322,"CAMPO GALLO,                            ",-999,-999,-999
